,passage,question,question_type,input_lang,target
0,Minh đi đến hành lang. Mai đi vào phòng tắm. Dương quay lại phòng tắm. Minh chuyển vào phòng ngủ.,Mai ở đâu?,qa1,vi,phòng tắm
1,Minh đi đến hành lang. Mai đi vào phòng tắm. Dương quay lại phòng tắm. Minh chuyển vào phòng ngủ. Minh đi ra hành lang. Lan đi vào bếp. Lan đi ra hành lang. Minh đi ra vườn. Lan quay lại phòng tắm. Lan di chuyển vào bếp.,Lan ở đâu?,qa1,vi,phòng bếp
2,Minh đi đến văn phòng. Mai đi vào bếp.,Mai ở đâu?,qa1,vi,phòng bếp
3,Minh di chuyển ra hành lang. Minh đi vào bếp. Lan đi ra vườn. Minh đi ra vườn. Dương đi đến văn phòng. Minh đi vào bếp.,Minh ở đâu?,qa1,vi,phòng bếp
4,Lan chuyển vào phòng ngủ. Mai quay lại bếp.,Lan ở đâu?,qa1,vi,phòng ngủ
5,Lan di chuyển ra hành lang. Dương đi đến văn phòng. Lan đi vào bếp. Minh chuyển đến văn phòng.,Minh ở đâu?,qa1,vi,văn phòng
6,Mai quay lại phòng ngủ. Mai chuyển đến văn phòng. Mai quay lại phòng tắm. Lan di chuyển ra hành lang. Mai đi ra vườn. Lan đi vào bếp.,Mai ở đâu?,qa1,vi,vườn
7,Lan đi đến văn phòng. Lan đi vào phòng tắm.,Lan ở đâu?,qa1,vi,phòng tắm
8,Mai quay lại bếp. Dương đi ra hành lang.,Mai ở đâu?,qa1,vi,phòng bếp
9,Minh đi ra hành lang. Minh đi vào phòng ngủ.,Minh ở đâu?,qa1,vi,phòng ngủ
10,Mai đi vào bếp. Minh quay lại bếp. Dương quay lại hành lang. Dương đi vào phòng tắm. Lan đi vào phòng tắm. Lan đi vào phòng ngủ. Dương đi vào bếp. Dương chuyển đến văn phòng.,Dương đâu?,qa1,vi,văn phòng
11,Mai đi vào bếp. Minh quay lại bếp. Dương quay lại hành lang. Dương đi vào phòng tắm. Lan đi vào phòng tắm. Lan đi vào phòng ngủ. Dương đi vào bếp. Dương chuyển đến văn phòng. Mai đi vào phòng tắm. Mai quay lại hành lang.,Dương đâu?,qa1,vi,văn phòng
12,Lan đi vào phòng ngủ. Mai đi ra vườn. Lan di chuyển ra hành lang. Mai đi đến văn phòng. Mai đi vào bếp. Mai đi ra vườn. Minh di chuyển ra hành lang. Mai đi vào phòng ngủ. Minh đi vào phòng tắm. Mai đi vào phòng tắm.,Mai ở đâu?,qa1,vi,phòng tắm
13,Lan di chuyển vào bếp. Lan quay lại phòng tắm.,Lan ở đâu?,qa1,vi,phòng tắm
14,Lan di chuyển vào bếp. Lan quay lại phòng tắm. Mai đi vào phòng ngủ. Minh đi vào phòng tắm. Lan chuyển vào phòng ngủ. Lan đi ra hành lang. Lan đi ra vườn. Lan đi vào phòng tắm. Dương đi vào bếp. Minh đi đến văn phòng.,Lan ở đâu?,qa1,vi,phòng tắm
15,Mai đi đến văn phòng. Mai di chuyển ra hành lang.,Mai ở đâu?,qa1,vi,hành lang
