id,input_lang,prompt,target,rag_prompt_2,rag_prompt_5,rag_prompt_10
83_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


संगीता रसोई में पहुंची। ध्रुव बाथरूम की ओर चला गया। जय दालान में चला गया। संगीता शयनकक्ष की ओर चली गई।


</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",स्नानघर,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई। जय दालान में चला गया। संगीता रसोई में पहुंची.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव बाथरूम की ओर चला गया। संगीता शयनकक्ष की ओर चली गई। जय दालान में चला गया। संगीता रसोई में पहुंची.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
53_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


संगीता वापस शयनकक्ष में चली गयी। मीरा रसोई की ओर चली गई। मीरा ऑफिस चली गयी। ध्रुव ने कार्यालय की यात्रा की। ध्रुव ने दालान की ओर यात्रा की। जय वापस दालान में चला गया। मीरा बाथरूम में चली गयी। संगीता ने दालान की ओर यात्रा की। जय बगीचे में चला गया। ध्रुव रसोई में गया।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",बगीचा,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया। संगीता ने दालान की ओर यात्रा की। ध्रुव ने दालान की ओर यात्रा की। मीरा ऑफिस चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय वापस दालान में चला गया। जय बगीचे में चला गया। संगीता ने दालान की ओर यात्रा की। ध्रुव ने दालान की ओर यात्रा की। मीरा ऑफिस चली गयी। ध्रुव ने कार्यालय की यात्रा की। मीरा बाथरूम में चली गयी। मीरा रसोई की ओर चली गई। ध्रुव रसोई में गया। संगीता वापस शयनकक्ष में चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
70_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


ध्रुव ने बगीचे की ओर यात्रा की। जय बगीचे में चला गया। संगीता बेडरूम में चली गयी। जय वापस ऑफिस चला गया। जय वापस शयनकक्ष में चला गया। ध्रुव वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। संगीता बगीचे में चली गयी।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",कार्यालय,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। जय वापस ऑफिस चला गया। ध्रुव ने बगीचे की ओर यात्रा की.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय बगीचे में चला गया। जय वापस शयनकक्ष में चला गया। जय ऑफिस चला गया। जय वापस ऑफिस चला गया। ध्रुव ने बगीचे की ओर यात्रा की। संगीता बगीचे में चली गयी। ध्रुव वापस शयनकक्ष में चला गया। संगीता बेडरूम में चली गयी.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
45_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


संगीता बगीचे में चली गयी। जय बेडरूम में चला गया। जय बाथरूम में चला गया। जय बगीचे में चला गया। जय शयनकक्ष की ओर चला गया। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बेडरूम में चली गयी। संगीता ऑफिस चली गयी।


</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",कार्यालय,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता बेडरूम में चली गयी। संगीता रसोई में चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता ऑफिस चली गयी। संगीता ऑफिस चली गयी। संगीता बाथरूम में चली गयी। संगीता बेडरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। जय शयनकक्ष की ओर चला गया। जय बगीचे में चला गया। जय बेडरूम में चला गया। जय बाथरूम में चला गया.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
44_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


ध्रुव वापस रसोई में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस शयनकक्ष में चला गया। जय बगीचे में चला गया। ध्रुव ने कार्यालय की यात्रा की। मीरा ने बगीचे की ओर यात्रा की।


</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",कार्यालय,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस रसोई में चला गया। ध्रुव ने कार्यालय की यात्रा की। जय बगीचे में चला गया.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस शयनकक्ष में चला गया। ध्रुव ऑफिस चला गया। ध्रुव वापस रसोई में चला गया। ध्रुव ने कार्यालय की यात्रा की। जय बगीचे में चला गया। मीरा ने बगीचे की ओर यात्रा की.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
39_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


मीरा ने कार्यालय की ओर प्रस्थान किया। मीरा शयनकक्ष की ओर बढ़ी। संगीता बगीचे में चली गयी। संगीता रसोई में चली गयी। संगीता बाथरूम में चली गयी। ध्रुव ऑफिस चला गया। जय वापस ऑफिस चला गया। जय बगीचे में चला गया।


</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",स्नानघर,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। ध्रुव ऑफिस चला गया। मीरा शयनकक्ष की ओर बढ़ी.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
संगीता बाथरूम में चली गयी। संगीता रसोई में चली गयी। संगीता बगीचे में चली गयी। ध्रुव ऑफिस चला गया। मीरा शयनकक्ष की ओर बढ़ी। जय बगीचे में चला गया। जय वापस ऑफिस चला गया। मीरा ने कार्यालय की ओर प्रस्थान किया.
</context>

QUESTION: संगीता कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
22_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


मीरा ने बाथरूम की ओर यात्रा की। ध्रुव वापस दालान में चला गया। संगीता वापस ऑफिस चली गई। संगीता वापस दालान में चली गयी। जय वापस बाथरूम में चला गया। ध्रुव रसोई में चला गया। जय रसोई में चला गया। ध्रुव शयन कक्ष में चला गया। संगीता रसोई की ओर बढ़ी। जय शयनकक्ष में चला गया।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",सोने का कमरा,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया। जय वापस बाथरूम में चला गया। ध्रुव शयन कक्ष में चला गया। ध्रुव वापस दालान में चला गया.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय शयनकक्ष में चला गया। जय रसोई में चला गया। जय वापस बाथरूम में चला गया। ध्रुव शयन कक्ष में चला गया। ध्रुव वापस दालान में चला गया। मीरा ने बाथरूम की ओर यात्रा की। ध्रुव रसोई में चला गया। संगीता वापस दालान में चली गयी। संगीता रसोई की ओर बढ़ी। संगीता वापस ऑफिस चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
80_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


ध्रुव शयनकक्ष की ओर चला गया। संगीता वापस ऑफिस चली गई। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। मीरा रसोई की ओर चली गई। जय दालान में चला गया।


</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",दालान,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। ध्रुव शयनकक्ष की ओर चला गया। मीरा रसोई की ओर चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
जय दालान में चला गया। ध्रुव ने उद्यान की यात्रा की। जय वापस बाथरूम में चला गया। ध्रुव शयनकक्ष की ओर चला गया। मीरा रसोई की ओर चली गई। संगीता वापस ऑफिस चली गई.
</context>

QUESTION: जय कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
10_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


मीरा रसोई में चली गयी। जय वापस रसोई में चला गया। ध्रुव वापस दालान में चला गया। ध्रुव बाथरूम चला गया। संगीता बाथरूम की ओर चली गयी। संगीता शयनकक्ष की ओर कूच कर गई। ध्रुव रसोई में चला गया। ध्रुव ऑफिस चला गया।


</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",कार्यालय,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस दालान में चला गया। ध्रुव ऑफिस चला गया.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस दालान में चला गया। ध्रुव ऑफिस चला गया। ध्रुव रसोई में चला गया। ध्रुव बाथरूम चला गया। संगीता शयनकक्ष की ओर कूच कर गई.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
ध्रुव वापस दालान में चला गया। ध्रुव ऑफिस चला गया। ध्रुव रसोई में चला गया। ध्रुव बाथरूम चला गया। संगीता शयनकक्ष की ओर कूच कर गई। मीरा रसोई में चली गयी। जय वापस रसोई में चला गया। संगीता बाथरूम की ओर चली गयी.
</context>

QUESTION: ध्रुव कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
0_hi,hi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>


जय ने दालान की ओर यात्रा की। मीरा बाथरूम की ओर चली गई। ध्रुव वापस बाथरूम में चला गया। जय शयनकक्ष में चला गया।


</context>

QUESTION: मीरा कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",स्नानघर,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
मीरा बाथरूम की ओर चली गई। जय शयनकक्ष में चला गया.
</context>

QUESTION: मीरा कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
मीरा बाथरूम की ओर चली गई। जय शयनकक्ष में चला गया। जय ने दालान की ओर यात्रा की। ध्रुव वापस बाथरूम में चला गया.
</context>

QUESTION: मीरा कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
मीरा बाथरूम की ओर चली गई। जय शयनकक्ष में चला गया। जय ने दालान की ओर यात्रा की। ध्रुव वापस बाथरूम में चला गया.
</context>

QUESTION: मीरा कहाँ है?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
