id,input_lang,prompt,target,rag_prompt_10,rag_prompt_5,rag_prompt_2
83_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine ging in die Küche. Lukas ging ins Badezimmer. Hans ging in den Flur. Sabine ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Badezimmer,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging ins Badezimmer. Hans ging in den Flur. Sabine ging in die Küche. Sabine ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging ins Badezimmer. Hans ging in den Flur. Sabine ging in die Küche. Sabine ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging ins Badezimmer. Hans ging in den Flur.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
53_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine ging zurück ins Schlafzimmer. Bertha ging in die Küche. Bertha zog ins Büro. Lukas reiste ins Büro. Lukas reiste zum Flur. Hans ging zurück in den Flur. Bertha ging ins Badezimmer. Sabine ging zum Flur. Hans ging in den Garten. Lukas reiste in die Küche.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Garten,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging zurück in den Flur. Hans ging in den Garten. Lukas reiste zum Flur. Lukas reiste in die Küche. Lukas reiste ins Büro. Sabine ging zum Flur. Sabine ging zurück ins Schlafzimmer. Bertha zog ins Büro. Bertha ging in die Küche. Bertha ging ins Badezimmer.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging zurück in den Flur. Hans ging in den Garten. Lukas reiste zum Flur. Lukas reiste in die Küche. Lukas reiste ins Büro.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging zurück in den Flur. Hans ging in den Garten.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
70_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas reiste in den Garten. Hans zog in den Garten. Sabine ging ins Schlafzimmer. Hans ging zurück ins Büro. Hans ging zurück ins Schlafzimmer. Lukas ging zurück ins Schlafzimmer. Hans ging ins Büro. Sabine ging in den Garten.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Büro,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging ins Büro. Hans ging zurück ins Büro. Hans ging zurück ins Schlafzimmer. Hans zog in den Garten. Lukas reiste in den Garten. Lukas ging zurück ins Schlafzimmer. Sabine ging in den Garten. Sabine ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging ins Büro. Hans ging zurück ins Büro. Hans ging zurück ins Schlafzimmer. Hans zog in den Garten. Lukas reiste in den Garten.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging ins Büro. Hans ging zurück ins Büro.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
45_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine zog in den Garten. Hans ging ins Schlafzimmer. Hans ging ins Badezimmer. Hans ging in den Garten. Hans ging ins Schlafzimmer. Sabine ging ins Büro. Sabine ging ins Badezimmer. Sabine ging in die Küche. Sabine ging ins Schlafzimmer. Sabine ging ins Büro.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Büro,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine zog in den Garten. Sabine ging in die Küche. Sabine ging ins Badezimmer. Sabine ging ins Büro. Sabine ging ins Büro. Sabine ging ins Schlafzimmer. Hans ging in den Garten. Hans ging ins Badezimmer. Hans ging ins Schlafzimmer. Hans ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine zog in den Garten. Sabine ging in die Küche. Sabine ging ins Badezimmer. Sabine ging ins Büro. Sabine ging ins Büro.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine zog in den Garten. Sabine ging in die Küche.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
44_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging zurück in die Küche. Lukas zog ins Büro. Lukas ging zurück ins Schlafzimmer. Hans zog in den Garten. Lukas reiste ins Büro. Bertha reiste in den Garten.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Büro,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging zurück in die Küche. Lukas reiste ins Büro. Lukas zog ins Büro. Lukas ging zurück ins Schlafzimmer. Hans zog in den Garten. Bertha reiste in den Garten.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging zurück in die Küche. Lukas reiste ins Büro. Lukas zog ins Büro. Lukas ging zurück ins Schlafzimmer. Hans zog in den Garten.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging zurück in die Küche. Lukas reiste ins Büro.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
39_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Bertha reiste ins Büro. Bertha ging ins Schlafzimmer. Sabine ging in den Garten. Sabine ging in die Küche. Sabine ging ins Badezimmer. Lukas zog ins Büro. Hans ging zurück ins Büro. Hans ging in den Garten.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Badezimmer,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine ging in den Garten. Sabine ging in die Küche. Sabine ging ins Badezimmer. Bertha reiste ins Büro. Bertha ging ins Schlafzimmer. Hans ging in den Garten. Lukas zog ins Büro. Hans ging zurück ins Büro.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine ging in den Garten. Sabine ging in die Küche. Sabine ging ins Badezimmer. Bertha reiste ins Büro. Bertha ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Sabine ging in den Garten. Sabine ging in die Küche.
</context>

QUESTION: Wo ist Sabine?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
22_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Bertha ging ins Badezimmer. Lukas ging zurück in den Flur. Sabine ging zurück ins Büro. Sabine ging zurück in den Flur. Hans ging zurück ins Badezimmer. Lukas ging in die Küche. Hans ging in die Küche. Lukas ging ins Schlafzimmer. Sabine ging in die Küche. Hans ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Schlafzimmer,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging in die Küche. Hans ging ins Schlafzimmer. Hans ging zurück ins Badezimmer. Lukas ging zurück in den Flur. Lukas ging in die Küche. Lukas ging ins Schlafzimmer. Sabine ging zurück in den Flur. Sabine ging in die Küche. Sabine ging zurück ins Büro. Bertha ging ins Badezimmer.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging in die Küche. Hans ging ins Schlafzimmer. Hans ging zurück ins Badezimmer. Lukas ging zurück in den Flur. Lukas ging in die Küche.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging in die Küche. Hans ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
80_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas reiste ins Schlafzimmer. Sabine ging zurück ins Büro. Lukas reiste in den Garten. Hans ging zurück ins Badezimmer. Bertha ging in die Küche. Hans ging in den Flur.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Flur,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging in den Flur. Hans ging zurück ins Badezimmer. Lukas reiste in den Garten. Lukas reiste ins Schlafzimmer. Sabine ging zurück ins Büro. Bertha ging in die Küche.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging in den Flur. Hans ging zurück ins Badezimmer. Lukas reiste in den Garten. Lukas reiste ins Schlafzimmer. Sabine ging zurück ins Büro.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging in den Flur. Hans ging zurück ins Badezimmer.
</context>

QUESTION: Wo ist Hans?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
10_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Bertha ging in die Küche. Hans ging zurück in die Küche. Lukas ging zurück in den Flur. Lukas ging auf die Toilette. Sabine ging ins Badezimmer. Sabine ging ins Schlafzimmer. Lukas ging in die Küche. Lukas zog ins Büro.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Büro,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging zurück in den Flur. Lukas ging in die Küche. Lukas ging auf die Toilette. Lukas zog ins Büro. Hans ging zurück in die Küche. Sabine ging ins Badezimmer. Sabine ging ins Schlafzimmer. Bertha ging in die Küche.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging zurück in den Flur. Lukas ging in die Küche. Lukas ging auf die Toilette. Lukas zog ins Büro. Hans ging zurück in die Küche.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lukas ging zurück in den Flur. Lukas ging in die Küche.
</context>

QUESTION: Wo ist Lukas?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
0_de,de,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Hans ging zum Flur. Bertha ging ins Badezimmer. Lukas ging zurück ins Badezimmer. Hans ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Bertha?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",Badezimmer,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Bertha ging ins Badezimmer. Hans ging zum Flur. Lukas ging zurück ins Badezimmer. Hans ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Bertha?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Bertha ging ins Badezimmer. Hans ging zum Flur. Lukas ging zurück ins Badezimmer. Hans ging ins Schlafzimmer.
</context>

QUESTION: Wo ist Bertha?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Bertha ging ins Badezimmer. Hans ging zum Flur.
</context>

QUESTION: Wo ist Bertha?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
