,passage,question,question_type,input_lang,target
1000,Juan viajó hasta el pasillo. María se dirigió al baño. Santiago volvió al baño. Juan se dirigió al dormitorio.,¿Dónde está María?,qa1,es,baño
1001,Juan viajó hasta el pasillo. María se dirigió al baño. Santiago volvió al baño. Juan se dirigió al dormitorio. Juan salió al pasillo. Alejandra se dirigió a la cocina. Alejandra se dirigió al pasillo. Juan fue al jardín. Alejandra volvió al baño. Alejandra se dirigió a la cocina.,¿Dónde está Alejandra?,qa1,es,cocina
1002,Juan viajó a la oficina. María se dirigió a la cocina.,¿Dónde está María?,qa1,es,cocina
1003,Juan se dirigió al pasillo. Juan se dirigió a la cocina. Alejandra viajó al jardín. Juan caminó hacia el jardín. Santiago se dirigió a la oficina. Juan fue a la cocina.,¿Dónde está Juan?,qa1,es,cocina
1004,Alejandra se dirigió al dormitorio. María volvió a la cocina.,¿Dónde está Alejandra?,qa1,es,dormitorio
1005,Alejandra se dirigió al pasillo. Santiago fue a la oficina. Alejandra viajó a la cocina. Juan se mudó a la oficina.,¿Dónde está Juan?,qa1,es,oficina
1006,María volvió al dormitorio. María se mudó a la oficina. María volvió al baño. Alejandra se dirigió al pasillo. María fue al jardín. Alejandra fue a la cocina.,¿Dónde está María?,qa1,es,jardín
1007,Alejandra fue a la oficina. Alejandra viajó al baño.,¿Dónde está Alejandra?,qa1,es,baño
1008,María volvió a la cocina. Santiago caminó hacia el pasillo.,¿Dónde está María?,qa1,es,cocina
1009,Juan caminó hacia el pasillo. Juan se dirigió al dormitorio.,¿Dónde está Juan?,qa1,es,dormitorio
1010,María fue a la cocina. Juan volvió a la cocina. Santiago volvió al pasillo. Santiago fue al baño. Alejandra viajó al baño. Alejandra viajó al dormitorio. Santiago fue a la cocina. Santiago se trasladó a la oficina.,¿Dónde está Santiago?,qa1,es,oficina
1011,María fue a la cocina. Juan volvió a la cocina. Santiago volvió al pasillo. Santiago fue al baño. Alejandra viajó al baño. Alejandra viajó al dormitorio. Santiago fue a la cocina. Santiago se trasladó a la oficina. María se dirigió al baño. María volvió al pasillo.,¿Dónde está Santiago?,qa1,es,oficina
1012,Alejandra se dirigió al dormitorio. María se dirigió al jardín. Alejandra se dirigió al pasillo. María se desplazó a la oficina. María viajó a la cocina. María se dirigió al jardín. Juan se dirigió al pasillo. María fue al dormitorio. Juan se dirigió al baño. María fue al baño.,¿Dónde está María?,qa1,es,baño
1013,Alejandra se dirigió a la cocina. Alejandra volvió al baño.,¿Dónde está Alejandra?,qa1,es,baño
1014,Alejandra se dirigió a la cocina. Alejandra volvió al baño. María se dirigió al dormitorio. Juan se dirigió al baño. Alejandra se dirigió al dormitorio. Alejandra se dirigió al pasillo. Alejandra viajó al jardín. Alejandra viajó al baño. Santiago se dirigió a la cocina. Juan se dirigió a la oficina.,¿Dónde está Alejandra?,qa1,es,baño
1015,María se dirigió a la oficina. María se dirigió al pasillo.,¿Dónde está María?,qa1,es,pasillo
