,passage,question,question_type,input_lang,target
6000,Hans ging zum Flur. Bertha ging ins Badezimmer. Lukas ging zurück ins Badezimmer. Hans ging ins Schlafzimmer.,Wo ist Bertha?,qa1,de,Badezimmer
6001,Hans ging zum Flur. Bertha ging ins Badezimmer. Lukas ging zurück ins Badezimmer. Hans ging ins Schlafzimmer. Hans ging in den Flur. Sabine ging in die Küche. Sabine ging zum Flur. Hans ging in den Garten. Sabine ging zurück ins Badezimmer. Sabine ging in die Küche.,Wo ist Sabine?,qa1,de,Küche
6002,Hans reiste ins Büro. Bertha reiste in die Küche.,Wo ist Bertha?,qa1,de,Küche
6003,Hans ging in den Flur. Hans reiste in die Küche. Sabine reiste in den Garten. Hans reiste in den Garten. Lukas reiste ins Büro. Hans ging in die Küche.,Wo ist Hans?,qa1,de,Küche
6004,Sabine ging ins Schlafzimmer. Bertha ging zurück in die Küche.,Wo ist Sabine?,qa1,de,Schlafzimmer
6005,Sabine ging in den Flur. Lukas ging ins Büro. Sabine ging in die Küche. Hans zog ins Büro.,Wo ist Hans?,qa1,de,Büro
6006,Bertha ging zurück ins Schlafzimmer. Bertha zog ins Büro. Bertha ging zurück ins Badezimmer. Sabine ging in den Flur. Bertha ging in den Garten. Sabine ging in die Küche.,Wo ist Bertha?,qa1,de,Garten
6007,Sabine ging ins Büro. Sabine ging ins Badezimmer.,Wo ist Sabine?,qa1,de,Badezimmer
6008,Bertha ging zurück in die Küche. Lukas reiste zum Flur.,Wo ist Bertha?,qa1,de,Küche
6009,Hans reiste zum Flur. Hans ging ins Schlafzimmer.,Wo ist Hans?,qa1,de,Schlafzimmer
6010,Bertha ging in die Küche. Hans ging zurück in die Küche. Lukas ging zurück in den Flur. Lukas ging auf die Toilette. Sabine ging ins Badezimmer. Sabine ging ins Schlafzimmer. Lukas ging in die Küche. Lukas zog ins Büro.,Wo ist Lukas?,qa1,de,Büro
6011,Bertha ging in die Küche. Hans ging zurück in die Küche. Lukas ging zurück in den Flur. Lukas ging auf die Toilette. Sabine ging ins Badezimmer. Sabine ging ins Schlafzimmer. Lukas ging in die Küche. Lukas zog ins Büro. Bertha ging ins Badezimmer. Bertha ging zurück in den Flur.,Wo ist Lukas?,qa1,de,Büro
6012,Sabine ging ins Schlafzimmer. Bertha reiste in den Garten. Sabine ging in den Flur. Bertha reiste ins Büro. Bertha ging in die Küche. Bertha reiste in den Garten. Hans ging in den Flur. Bertha ging ins Schlafzimmer. Hans ging ins Badezimmer. Bertha ging auf die Toilette.,Wo ist Bertha?,qa1,de,Badezimmer
6013,Sabine ging in die Küche. Sabine ging zurück ins Badezimmer.,Wo ist Sabine?,qa1,de,Badezimmer
6014,Sabine ging in die Küche. Sabine ging zurück ins Badezimmer. Bertha ging ins Schlafzimmer. Hans ging ins Badezimmer. Sabine ging ins Schlafzimmer. Sabine ging zum Flur. Sabine reiste in den Garten. Sabine ging ins Badezimmer. Lukas reiste in die Küche. Hans reiste ins Büro.,Wo ist Sabine?,qa1,de,Badezimmer
6015,Bertha reiste ins Büro. Bertha ging in den Flur.,Wo ist Bertha?,qa1,de,Flur
6016,Lukas ging ins Schlafzimmer. Sabine ging in die Küche. Lukas ging in die Küche. Hans ging zurück ins Schlafzimmer. Lukas reiste ins Schlafzimmer. Lukas reiste in die Küche. Sabine ging zurück ins Badezimmer. Sabine ging in die Küche.,Wo ist Sabine?,qa1,de,Küche
6017,Lukas reiste in die Küche. Lukas reiste ins Büro.,Wo ist Lukas?,qa1,de,Büro
6018,Sabine ging zum Flur. Bertha ging zurück in den Flur. Bertha zog ins Büro. Sabine ging in die Küche.,Wo ist Sabine?,qa1,de,Küche
6019,Hans ging ins Büro. Bertha reiste in den Garten. Lukas reiste in die Küche. Bertha ging zurück ins Schlafzimmer. Bertha reiste ins Büro. Hans ging ins Badezimmer. Bertha ging auf die Toilette. Hans reiste in die Küche. Hans ging zurück ins Badezimmer. Hans ging zurück ins Schlafzimmer.,Wo ist Hans?,qa1,de,Schlafzimmer
6020,Bertha ging in den Flur. Lukas reiste ins Büro. Hans ging zurück in den Flur. Hans zog ins Büro. Sabine ging in die Küche. Bertha ging ins Schlafzimmer. Hans ging zurück in die Küche. Sabine ging ins Schlafzimmer. Sabine ging zum Flur. Lukas ging ins Schlafzimmer.,Wo ist Sabine?,qa1,de,Flur
6021,Bertha ging ins Schlafzimmer. Hans ging zurück in den Flur.,Wo ist Bertha?,qa1,de,Schlafzimmer
6022,Bertha ging ins Badezimmer. Lukas ging zurück in den Flur. Sabine ging zurück ins Büro. Sabine ging zurück in den Flur. Hans ging zurück ins Badezimmer. Lukas ging in die Küche. Hans ging in die Küche. Lukas ging ins Schlafzimmer. Sabine ging in die Küche. Hans ging ins Schlafzimmer.,Wo ist Hans?,qa1,de,Schlafzimmer
6023,Lukas ging in den Garten. Bertha ging ins Schlafzimmer. Lukas ging ins Badezimmer. Sabine ging ins Badezimmer.,Wo ist Bertha?,qa1,de,Schlafzimmer
6024,Lukas ging in den Garten. Bertha ging ins Schlafzimmer. Lukas ging ins Badezimmer. Sabine ging ins Badezimmer. Lukas ging in den Flur. Sabine ging in die Küche.,Wo ist Bertha?,qa1,de,Schlafzimmer
6025,Bertha ging zurück in den Flur. Lukas ging in den Flur. Hans ging ins Badezimmer. Bertha ging in die Küche. Sabine ging in die Küche. Bertha reiste in den Garten. Lukas ging zurück ins Schlafzimmer. Hans ging zurück in den Flur.,Wo ist Bertha?,qa1,de,Garten
6026,Bertha ging zurück ins Büro. Lukas ging ins Schlafzimmer.,Wo ist Lukas?,qa1,de,Schlafzimmer
6027,Sabine reiste ins Büro. Sabine ging ins Badezimmer. Lukas ging ins Schlafzimmer. Lukas ging in den Garten. Bertha ging zum Flur. Sabine ging ins Büro.,Wo ist Sabine?,qa1,de,Büro
6028,Sabine reiste ins Büro. Sabine ging ins Badezimmer. Lukas ging ins Schlafzimmer. Lukas ging in den Garten. Bertha ging zum Flur. Sabine ging ins Büro. Lukas ging zurück ins Badezimmer. Bertha ging in die Küche.,Wo ist Sabine?,qa1,de,Büro
6029,Sabine ging in den Garten. Lukas ging in den Garten.,Wo ist Sabine?,qa1,de,Garten
6030,Sabine ging in den Garten. Lukas ging in den Garten. Sabine ging in die Küche. Hans reiste zum Flur.,Wo ist Lukas?,qa1,de,Garten
6031,Sabine ging ins Badezimmer. Bertha ging ins Badezimmer. Sabine ging zurück in die Küche. Lukas ging zurück in den Flur.,Wo ist Bertha?,qa1,de,Badezimmer
6032,Hans reiste in den Garten. Bertha ging zurück ins Büro.,Wo ist Bertha?,qa1,de,Büro
6033,Sabine zog in den Garten. Hans ging in den Garten. Sabine ging ins Badezimmer. Sabine ging in die Küche.,Wo ist Sabine?,qa1,de,Küche
6034,Lukas ging ins Schlafzimmer. Sabine ging ins Badezimmer. Hans ging zurück ins Schlafzimmer. Sabine ging in die Küche. Sabine ging zurück ins Büro. Sabine zog in den Garten. Lukas ging in die Küche. Hans ging ins Badezimmer.,Wo ist Sabine?,qa1,de,Garten
6035,Lukas reiste zum Flur. Sabine ging in die Küche.,Wo ist Sabine?,qa1,de,Küche
6036,Bertha ging ins Badezimmer. Bertha ging in den Flur. Lukas ging ins Schlafzimmer. Bertha reiste in den Garten. Hans reiste ins Büro. Lukas reiste ins Büro. Bertha ging ins Schlafzimmer. Sabine ging zurück in die Küche.,Wo ist Sabine?,qa1,de,Küche
6037,Sabine ging ins Schlafzimmer. Hans reiste in den Garten. Bertha ging in den Flur. Bertha ging zurück ins Schlafzimmer.,Wo ist Hans?,qa1,de,Garten
6038,Sabine ging ins Schlafzimmer. Hans reiste in den Garten. Bertha ging in den Flur. Bertha ging zurück ins Schlafzimmer. Sabine ging in die Küche. Sabine reiste in den Garten.,Wo ist Sabine?,qa1,de,Garten
6039,Bertha reiste ins Büro. Bertha ging ins Schlafzimmer. Sabine ging in den Garten. Sabine ging in die Küche. Sabine ging ins Badezimmer. Lukas zog ins Büro. Hans ging zurück ins Büro. Hans ging in den Garten.,Wo ist Sabine?,qa1,de,Badezimmer
6040,Hans ging ins Schlafzimmer. Bertha ging auf die Toilette. Bertha ging ins Schlafzimmer. Sabine ging zum Flur. Lukas ging zurück in den Flur. Sabine reiste ins Büro.,Wo ist Bertha?,qa1,de,Schlafzimmer
6041,Sabine ging in die Küche. Lukas ging ins Badezimmer.,Wo ist Sabine?,qa1,de,Küche
6042,Sabine ging in die Küche. Lukas ging ins Badezimmer. Bertha ging in den Garten. Bertha reiste ins Büro.,Wo ist Bertha?,qa1,de,Büro
6043,Lukas reiste in den Garten. Bertha ging in die Küche. Hans ging ins Schlafzimmer. Lukas reiste zum Flur. Bertha ging ins Badezimmer. Hans reiste in den Garten. Sabine ging zurück in den Flur. Bertha ging ins Schlafzimmer.,Wo ist Bertha?,qa1,de,Schlafzimmer
6044,Lukas ging zurück in die Küche. Lukas zog ins Büro. Lukas ging zurück ins Schlafzimmer. Hans zog in den Garten. Lukas reiste ins Büro. Bertha reiste in den Garten.,Wo ist Lukas?,qa1,de,Büro
6045,Sabine zog in den Garten. Hans ging ins Schlafzimmer. Hans ging ins Badezimmer. Hans ging in den Garten. Hans ging ins Schlafzimmer. Sabine ging ins Büro. Sabine ging ins Badezimmer. Sabine ging in die Küche. Sabine ging ins Schlafzimmer. Sabine ging ins Büro.,Wo ist Sabine?,qa1,de,Büro
6046,Bertha ging zum Flur. Lukas reiste ins Schlafzimmer. Hans ging zurück in den Garten. Sabine ging ins Badezimmer. Hans ging in die Küche. Sabine reiste in den Garten. Sabine ging in den Flur. Hans ging zurück in den Garten. Sabine ging ins Badezimmer. Bertha ging ins Büro.,Wo ist Sabine?,qa1,de,Badezimmer
6047,Hans reiste in die Küche. Sabine ging ins Badezimmer. Lukas ging in die Küche. Sabine ging in die Küche. Lukas ging in den Flur. Hans ging ins Büro. Sabine ging zurück in den Garten. Sabine ging ins Schlafzimmer. Hans ging ins Schlafzimmer. Hans ging ins Badezimmer.,Wo ist Sabine?,qa1,de,Schlafzimmer
6048,Hans ging ins Büro. Sabine ging in die Küche. Hans ging zurück in die Küche. Bertha zog in den Garten. Bertha ging in die Küche. Sabine ging ins Schlafzimmer. Sabine ging in den Flur. Hans ging zurück in den Flur. Sabine ging ins Schlafzimmer. Lukas zog ins Büro.,Wo ist Lukas?,qa1,de,Büro
6049,Sabine ging zurück ins Schlafzimmer. Hans zog in den Garten.,Wo ist Sabine?,qa1,de,Schlafzimmer
6050,Sabine ging zurück ins Schlafzimmer. Hans zog in den Garten. Lukas reiste zum Flur. Sabine ging zum Flur.,Wo ist Lukas?,qa1,de,Flur
6051,Lukas reiste in den Garten. Sabine ging ins Schlafzimmer. Lukas reiste ins Büro. Lukas ging ins Badezimmer.,Wo ist Sabine?,qa1,de,Schlafzimmer
6052,Bertha reiste in die Küche. Sabine ging zurück in den Garten. Lukas ging in die Küche. Lukas ging ins Schlafzimmer. Bertha zog in den Garten. Bertha ging ins Badezimmer. Lukas ging ins Büro. Sabine ging ins Schlafzimmer. Bertha ging in die Küche. Hans ging zurück ins Büro.,Wo ist Hans?,qa1,de,Büro
6053,Sabine ging zurück ins Schlafzimmer. Bertha ging in die Küche. Bertha zog ins Büro. Lukas reiste ins Büro. Lukas reiste zum Flur. Hans ging zurück in den Flur. Bertha ging ins Badezimmer. Sabine ging zum Flur. Hans ging in den Garten. Lukas reiste in die Küche.,Wo ist Hans?,qa1,de,Garten
6054,Hans ging in die Küche. Lukas reiste in die Küche.,Wo ist Lukas?,qa1,de,Küche
6055,Sabine ging in die Küche. Bertha ging in den Flur. Hans reiste ins Büro. Lukas ging zurück ins Büro. Lukas ging zurück in die Küche. Lukas reiste in den Garten. Hans ging zum Flur. Hans ging zurück ins Büro. Bertha ging ins Schlafzimmer. Bertha ging zum Flur.,Wo ist Bertha?,qa1,de,Flur
6056,Hans ging in die Küche. Sabine reiste in den Garten. Sabine ging zurück ins Badezimmer. Sabine ging zurück ins Schlafzimmer. Sabine reiste ins Büro. Sabine ging zum Flur. Lukas ging zurück in den Flur. Lukas ging in den Garten.,Wo ist Sabine?,qa1,de,Flur
6057,Sabine zog ins Büro. Hans ging zurück in den Garten. Bertha ging ins Büro. Lukas ging ins Schlafzimmer. Sabine reiste in den Garten. Lukas reiste zum Flur. Hans ging ins Schlafzimmer. Hans ging in den Flur.,Wo ist Hans?,qa1,de,Flur
6058,Bertha ging ins Badezimmer. Sabine ging zum Flur. Bertha ging in die Küche. Lukas zog ins Büro. Lukas reiste ins Schlafzimmer. Bertha ging ins Schlafzimmer. Sabine zog ins Büro. Sabine ging zurück ins Badezimmer. Hans ging zurück ins Badezimmer. Hans zog ins Büro.,Wo ist Bertha?,qa1,de,Schlafzimmer
6059,Hans reiste in den Garten. Hans ging ins Badezimmer. Lukas ging zurück in den Garten. Lukas reiste in die Küche. Sabine ging in die Küche. Sabine ging in den Flur. Sabine ging ins Schlafzimmer. Hans ging zurück ins Büro.,Wo ist Sabine?,qa1,de,Schlafzimmer
6060,Lukas ging zurück ins Schlafzimmer. Sabine ging in den Garten.,Wo ist Lukas?,qa1,de,Schlafzimmer
6061,Lukas ging zurück ins Schlafzimmer. Sabine ging in den Garten. Sabine ging in die Küche. Hans ging zum Flur. Lukas ging in die Küche. Hans reiste in die Küche.,Wo ist Sabine?,qa1,de,Küche
6062,Hans ging zum Flur. Hans ging ins Badezimmer. Sabine ging in die Küche. Hans ging ins Schlafzimmer. Lukas reiste zum Flur. Hans ging ins Badezimmer. Lukas ging ins Schlafzimmer. Bertha ging auf die Toilette.,Wo ist Lukas?,qa1,de,Schlafzimmer
6063,Sabine ging zurück ins Badezimmer. Sabine reiste ins Büro. Bertha ging zum Flur. Lukas ging ins Büro. Bertha reiste in den Garten. Hans reiste ins Büro. Sabine ging in die Küche. Hans zog in den Garten.,Wo ist Hans?,qa1,de,Garten
6064,Bertha ging auf die Toilette. Sabine ging zurück ins Badezimmer.,Wo ist Sabine?,qa1,de,Badezimmer
6065,Sabine ging zurück ins Schlafzimmer. Bertha reiste in den Garten. Hans reiste in die Küche. Sabine ging ins Büro. Hans ging in den Flur. Sabine ging zurück in den Garten. Hans ging zurück in die Küche. Lukas reiste ins Schlafzimmer.,Wo ist Sabine?,qa1,de,Garten
6066,Lukas ging zurück ins Büro. Sabine ging ins Badezimmer.,Wo ist Lukas?,qa1,de,Büro
6067,Hans reiste in den Garten. Hans ging ins Badezimmer. Bertha ging in die Küche. Bertha ging zurück ins Schlafzimmer. Hans ging in den Flur. Hans ging in die Küche.,Wo ist Bertha?,qa1,de,Schlafzimmer
6068,Hans ging in den Garten. Sabine reiste in den Garten. Hans ging ins Schlafzimmer. Hans reiste ins Büro.,Wo ist Sabine?,qa1,de,Garten
6069,Hans ging in den Garten. Sabine reiste in den Garten. Hans ging ins Schlafzimmer. Hans reiste ins Büro. Hans ging zurück in die Küche. Bertha ging zum Flur. Lukas reiste zum Flur. Hans reiste in den Garten. Lukas reiste ins Büro. Sabine ging ins Badezimmer.,Wo ist Sabine?,qa1,de,Badezimmer
6070,Lukas reiste in den Garten. Hans zog in den Garten. Sabine ging ins Schlafzimmer. Hans ging zurück ins Büro. Hans ging zurück ins Schlafzimmer. Lukas ging zurück ins Schlafzimmer. Hans ging ins Büro. Sabine ging in den Garten.,Wo ist Hans?,qa1,de,Büro
6071,Lukas ging in den Garten. Lukas ging ins Badezimmer. Bertha reiste in den Garten. Sabine ging zurück in den Garten. Bertha ging zurück ins Schlafzimmer. Lukas ging zurück in die Küche.,Wo ist Lukas?,qa1,de,Küche
6072,Lukas ging zurück ins Büro. Hans ging ins Schlafzimmer.,Wo ist Hans?,qa1,de,Schlafzimmer
6073,Sabine ging zum Flur. Hans ging zurück in den Garten. Lukas reiste ins Büro. Bertha ging ins Badezimmer. Hans ging in die Küche. Bertha reiste ins Büro.,Wo ist Lukas?,qa1,de,Büro
6074,Sabine ging ins Schlafzimmer. Sabine reiste in den Garten. Sabine ging in den Flur. Sabine ging ins Badezimmer. Bertha ging auf die Toilette. Hans zog ins Büro.,Wo ist Sabine?,qa1,de,Badezimmer
6075,Bertha ging in den Flur. Lukas reiste zum Flur. Hans ging zurück in den Flur. Hans ging ins Büro. Hans ging in die Küche. Hans ging ins Badezimmer. Sabine reiste in den Garten. Sabine ging ins Badezimmer. Lukas ging ins Badezimmer. Hans ging ins Büro.,Wo ist Hans?,qa1,de,Büro
6076,Hans ging ins Schlafzimmer. Sabine reiste in den Garten. Lukas ging zurück in den Flur. Bertha ging in den Flur. Lukas reiste in die Küche. Lukas ging ins Büro. Lukas ging ins Schlafzimmer. Sabine ging ins Büro.,Wo ist Bertha?,qa1,de,Flur
6077,Sabine ging in den Garten. Hans reiste ins Büro. Sabine ging zurück in den Flur. Bertha ging zurück ins Büro.,Wo ist Hans?,qa1,de,Büro
6078,Hans ging ins Badezimmer. Hans reiste in den Garten. Sabine ging zum Flur. Lukas ging in die Küche. Sabine reiste ins Büro. Bertha ging ins Badezimmer. Lukas ging zurück in den Flur. Bertha reiste in die Küche.,Wo ist Sabine?,qa1,de,Büro
6079,Lukas reiste ins Schlafzimmer. Sabine ging zurück ins Büro. Lukas reiste in den Garten. Hans ging zurück ins Badezimmer.,Wo ist Hans?,qa1,de,Badezimmer
6080,Lukas reiste ins Schlafzimmer. Sabine ging zurück ins Büro. Lukas reiste in den Garten. Hans ging zurück ins Badezimmer. Bertha ging in die Küche. Hans ging in den Flur.,Wo ist Hans?,qa1,de,Flur
6081,Sabine ging ins Schlafzimmer. Sabine reiste ins Büro. Lukas ging zurück in den Garten. Bertha ging ins Schlafzimmer. Hans reiste in den Garten. Lukas ging zurück in den Flur. Bertha ging zurück in den Garten. Bertha ging ins Schlafzimmer. Sabine ging zurück in die Küche. Sabine ging in den Garten.,Wo ist Lukas?,qa1,de,Flur
6082,Sabine ging zurück ins Büro. Hans ging ins Badezimmer. Sabine ging ins Schlafzimmer. Bertha ging ins Badezimmer. Hans ging ins Schlafzimmer. Lukas zog ins Büro. Bertha ging in den Garten. Lukas zog in den Garten. Lukas reiste zum Flur. Bertha reiste in die Küche.,Wo ist Lukas?,qa1,de,Flur
6083,Sabine ging in die Küche. Lukas ging ins Badezimmer. Hans ging in den Flur. Sabine ging ins Schlafzimmer.,Wo ist Lukas?,qa1,de,Badezimmer
6084,Bertha ging in den Garten. Lukas reiste in die Küche. Hans ging in die Küche. Hans ging ins Badezimmer.,Wo ist Hans?,qa1,de,Badezimmer
6085,Sabine ging in den Flur. Lukas zog in den Garten. Lukas ging zurück ins Badezimmer. Bertha ging ins Schlafzimmer.,Wo ist Lukas?,qa1,de,Badezimmer
6086,Bertha reiste in den Garten. Hans ging zurück in den Garten.,Wo ist Hans?,qa1,de,Garten
6087,Bertha reiste in den Garten. Hans ging zurück in den Garten. Bertha zog ins Büro. Hans ging ins Schlafzimmer.,Wo ist Hans?,qa1,de,Schlafzimmer
6088,Lukas ging ins Schlafzimmer. Lukas reiste ins Büro. Lukas ging ins Badezimmer. Bertha ging ins Büro.,Wo ist Bertha?,qa1,de,Büro
6089,Bertha ging in den Garten. Sabine reiste in den Garten. Bertha ging ins Badezimmer. Lukas ging ins Büro.,Wo ist Sabine?,qa1,de,Garten
6090,Sabine ging ins Schlafzimmer. Hans reiste ins Büro. Hans ging ins Schlafzimmer. Sabine ging zurück in die Küche. Sabine ging zurück in den Garten. Hans ging zurück ins Büro. Lukas ging in den Flur. Lukas ging auf die Toilette. Lukas reiste in die Küche. Lukas reiste in den Garten.,Wo ist Hans?,qa1,de,Büro
6091,Lukas reiste ins Schlafzimmer. Sabine ging in die Küche. Lukas ging auf die Toilette. Lukas ging in den Flur. Lukas ging ins Badezimmer. Sabine ging in den Garten. Bertha ging ins Badezimmer. Lukas ging ins Schlafzimmer.,Wo ist Lukas?,qa1,de,Schlafzimmer
6092,Bertha ging ins Schlafzimmer. Hans ging ins Badezimmer. Sabine ging zurück ins Büro. Hans reiste in den Garten. Sabine ging in die Küche. Hans reiste zum Flur.,Wo ist Hans?,qa1,de,Flur
6093,Hans ging zurück ins Schlafzimmer. Hans reiste in den Garten. Lukas ging ins Badezimmer. Sabine ging zurück in die Küche. Lukas reiste in die Küche. Sabine ging in den Flur.,Wo ist Lukas?,qa1,de,Küche
6094,Hans reiste in den Garten. Hans ging zurück ins Schlafzimmer. Lukas ging zurück ins Büro. Lukas ging ins Schlafzimmer.,Wo ist Lukas?,qa1,de,Schlafzimmer
6095,Sabine ging in die Küche. Hans reiste ins Büro. Sabine ging zurück in den Garten. Hans ging in den Garten. Lukas reiste in den Garten. Sabine ging in den Flur.,Wo ist Sabine?,qa1,de,Flur
6096,Sabine ging zurück ins Badezimmer. Sabine reiste in den Garten.,Wo ist Sabine?,qa1,de,Garten
6097,Hans ging zurück in die Küche. Hans ging ins Schlafzimmer.,Wo ist Hans?,qa1,de,Schlafzimmer
6098,Lukas reiste ins Schlafzimmer. Sabine ging ins Badezimmer. Hans ging ins Büro. Sabine ging ins Schlafzimmer.,Wo ist Hans?,qa1,de,Büro
6099,Sabine reiste in den Garten. Hans reiste in die Küche. Bertha ging auf die Toilette. Bertha ging ins Schlafzimmer.,Wo ist Sabine?,qa1,de,Garten
6100,Bertha ging ins Badezimmer. Sabine ging in den Garten. Lukas ging zurück in den Garten. Lukas ging ins Büro. Sabine schnappte sich dort die Milch. Dort stellte Sabine die Milch ab. Lukas ging in den Flur. Sabine hat dort die Milch geholt. Lukas ging in den Garten. Lukas reiste in die Küche. Lukas reiste ins Schlafzimmer. Bertha reiste in den Garten. Lukas hat den Fußball dorthin gebracht. Bertha zog ins Büro. Sabine ging ins Schlafzimmer. Lukas ließ den Fußball fallen. Sabine hat die Milch dort gelassen. Dort schnappte sich Lukas den Fußball. Sabine schnappte sich dort die Milch. Lukas ging in die Küche.,Wo ist der Fußball?,qa2,de,Küche
6101,Lukas reiste ins Büro. Hans hat den Fußball dorthin gebracht. Hans hat den Fußball weggeworfen. Hans reiste in den Garten. Lukas reiste in den Garten. Sabine ging in den Garten. Lukas reiste in die Küche. Lukas zog ins Büro. Bertha schnappte sich dort die Milch. Lukas reiste ins Schlafzimmer. Hans reiste ins Büro. Lukas ging ins Badezimmer. Hans reiste in die Küche. Bertha reiste in den Garten. Bertha ließ die Milch fallen. Hans ging zurück in den Garten. Sabine hat dort die Milch geholt. Sabine stellte die Milch ab. Bertha ging zurück ins Badezimmer. Bertha ging ins Schlafzimmer.,Wo ist die Milch?,qa2,de,Garten
6102,Bertha ging in die Küche. Bertha reiste ins Büro. Dort schnappte sich Lukas den Fußball. Bertha ging in den Flur. Sabine ging ins Schlafzimmer. Bertha ging zurück ins Schlafzimmer. Hans schnappte sich dort die Milch. Hans stellte die Milch ab. Lukas ging ins Badezimmer. Sabine ging ins Badezimmer. Hans hat dort die Milch geholt. Bertha nahm den Apfel dorthin. Bertha ließ den Apfel zurück. Hans ging ins Schlafzimmer.,Wo ist der Apfel?,qa2,de,Schlafzimmer
6103,Bertha ging in die Küche. Bertha reiste ins Büro. Dort schnappte sich Lukas den Fußball. Bertha ging in den Flur. Sabine ging ins Schlafzimmer. Bertha ging zurück ins Schlafzimmer. Hans schnappte sich dort die Milch. Hans stellte die Milch ab. Lukas ging ins Badezimmer. Sabine ging ins Badezimmer. Hans hat dort die Milch geholt. Bertha nahm den Apfel dorthin. Bertha ließ den Apfel zurück. Hans ging ins Schlafzimmer. Bertha reiste ins Büro. Lukas legte den Fußball hin.,Wo ist der Apfel?,qa2,de,Schlafzimmer
6104,Lukas reiste ins Büro. Lukas ging zurück ins Schlafzimmer. Bertha ging zurück in die Küche. Bertha hat den Fußball dort bekommen. Lukas reiste zum Flur. Hans ging ins Schlafzimmer. Dort hat Lukas den Apfel bekommen. Sabine reiste in den Garten. Lukas reiste in den Garten. Lukas ließ den Apfel fallen. Bertha hat den Fußball verlassen. Bertha ging ins Schlafzimmer. Hans ging in den Flur. Hans ging zurück ins Schlafzimmer. Sabine hat den Apfel dort bekommen. Hans ging in die Küche. Bertha ging auf die Toilette. Bertha reiste in den Garten. Sabine ging zurück in die Küche. Dort legte Sabine den Apfel ab. Bertha ging zurück ins Schlafzimmer. Bertha ging zurück in die Küche.,Wo ist der Apfel?,qa2,de,Küche
6105,Lukas hat die Milch dorthin gebracht. Hans reiste in den Garten. Lukas ging zurück in den Flur. Lukas ging ins Badezimmer. Lukas ließ die Milch fallen. Lukas hat die Milch dorthin gebracht. Dort schnappte sich Hans den Apfel. Sabine ging in die Küche. Hans ging in den Flur. Sabine ging zurück in den Garten.,Wo ist der Apfel?,qa2,de,Flur
6106,Hans ging ins Badezimmer. Lukas reiste in die Küche. Hans reiste in die Küche. Lukas reiste zum Flur. Sabine ging in die Küche. Bertha zog ins Büro. Lukas ging zurück ins Büro. Sabine ging zurück ins Badezimmer. Hans schnappte sich dort die Milch. Dort schnappte sich Hans den Apfel. Sabine reiste ins Büro. Bertha ging in den Flur. Hans ging ins Badezimmer. Hans warf den Apfel weg. Hans stellte die Milch ab. Dort hob Hans den Apfel auf. Lukas ging zurück ins Badezimmer. Hans brachte die Milch dorthin. Lukas reiste in den Garten. Sabine ging ins Badezimmer. Hans reiste in die Küche. Bertha ging zurück ins Büro.,Wo ist die Milch?,qa2,de,Küche
6107,Lukas zog ins Büro. Lukas ging ins Schlafzimmer. Hans brachte die Milch dorthin. Hans reiste in den Garten.,Wo ist die Milch?,qa2,de,Garten
6108,Lukas reiste zum Flur. Lukas reiste in den Garten. Bertha ging zurück in die Küche. Lukas ging zurück ins Büro. Bertha ging ins Badezimmer. Hans ging in den Flur. Dort schnappte sich Lukas den Fußball. Lukas ging in die Küche. Lukas warf den Fußball weg. Hans ging ins Badezimmer. Lukas hat den Fußball dorthin gebracht. Hans reiste in die Küche. Bertha reiste ins Büro. Hans ging zum Flur. Hans ging zurück ins Büro. Lukas reiste ins Schlafzimmer. Dort hat Lukas die Milch geholt. Lukas schüttete die Milch weg. Sabine ging ins Badezimmer. Bertha ging zurück ins Schlafzimmer.,Wo ist die Milch?,qa2,de,Schlafzimmer
6109,Hans ging in den Flur. Hans ging zurück ins Badezimmer. Hans schnappte sich dort die Milch. Sabine ging zurück ins Büro. Sabine ging in die Küche. Sabine hat den Apfel dort bekommen. Dort ließ Sabine den Apfel fallen. Hans ließ die Milch fallen. Bertha ging zurück in den Garten. Sabine ging zum Flur. Sabine hat dort den Fußball bekommen. Bertha ging in die Küche.,Wo ist die Milch?,qa2,de,Badezimmer
