Unnamed: 0,passage,question,question_type,input_lang,target
5000,John travelled to the hallway. Mary journeyed to the bathroom. Daniel went back to the bathroom. John moved to the bedroom.,Where is Mary?,qa1,en,bathroom
5001,John travelled to the hallway. Mary journeyed to the bathroom. Daniel went back to the bathroom. John moved to the bedroom. John went to the hallway. Sandra journeyed to the kitchen. Sandra travelled to the hallway. John went to the garden. Sandra went back to the bathroom. Sandra moved to the kitchen.,Where is Sandra?,qa1,en,kitchen
5002,John travelled to the office. Mary journeyed to the kitchen.,Where is Mary?,qa1,en,kitchen
5003,John moved to the hallway. John journeyed to the kitchen. Sandra travelled to the garden. John journeyed to the garden. Daniel journeyed to the office. John went to the kitchen.,Where is John?,qa1,en,kitchen
5004,Sandra moved to the bedroom. Mary went back to the kitchen.,Where is Sandra?,qa1,en,bedroom
5005,Sandra moved to the hallway. Daniel went to the office. Sandra travelled to the kitchen. John moved to the office.,Where is John?,qa1,en,office
5006,Mary went back to the bedroom. Mary moved to the office. Mary went back to the bathroom. Sandra moved to the hallway. Mary went to the garden. Sandra went to the kitchen.,Where is Mary?,qa1,en,garden
5007,Sandra went to the office. Sandra travelled to the bathroom.,Where is Sandra?,qa1,en,bathroom
5008,Mary went back to the kitchen. Daniel journeyed to the hallway.,Where is Mary?,qa1,en,kitchen
5009,John journeyed to the hallway. John journeyed to the bedroom.,Where is John?,qa1,en,bedroom
5010,Mary went to the kitchen. John went back to the kitchen. Daniel went back to the hallway. Daniel went to the bathroom. Sandra travelled to the bathroom. Sandra travelled to the bedroom. Daniel went to the kitchen. Daniel moved to the office.,Where is Daniel?,qa1,en,office
5011,Mary went to the kitchen. John went back to the kitchen. Daniel went back to the hallway. Daniel went to the bathroom. Sandra travelled to the bathroom. Sandra travelled to the bedroom. Daniel went to the kitchen. Daniel moved to the office. Mary moved to the bathroom. Mary went back to the hallway.,Where is Daniel?,qa1,en,office
5012,Sandra journeyed to the bedroom. Mary journeyed to the garden. Sandra moved to the hallway. Mary travelled to the office. Mary travelled to the kitchen. Mary journeyed to the garden. John moved to the hallway. Mary went to the bedroom. John moved to the bathroom. Mary went to the bathroom.,Where is Mary?,qa1,en,bathroom
5013,Sandra moved to the kitchen. Sandra went back to the bathroom.,Where is Sandra?,qa1,en,bathroom
5014,Sandra moved to the kitchen. Sandra went back to the bathroom. Mary journeyed to the bedroom. John journeyed to the bathroom. Sandra moved to the bedroom. Sandra travelled to the hallway. Sandra travelled to the garden. Sandra travelled to the bathroom. Daniel journeyed to the kitchen. John journeyed to the office.,Where is Sandra?,qa1,en,bathroom
5015,Mary journeyed to the office. Mary moved to the hallway.,Where is Mary?,qa1,en,hallway
5016,Daniel went to the bedroom. Sandra went to the kitchen. Daniel moved to the kitchen. John went back to the bedroom. Daniel journeyed to the bedroom. Daniel travelled to the kitchen. Sandra went back to the bathroom. Sandra went to the kitchen.,Where is Sandra?,qa1,en,kitchen
5017,Daniel journeyed to the kitchen. Daniel journeyed to the office.,Where is Daniel?,qa1,en,office
5018,Sandra travelled to the hallway. Mary went back to the hallway. Mary moved to the office. Sandra journeyed to the kitchen.,Where is Sandra?,qa1,en,kitchen
5019,John went to the office. Mary travelled to the garden. Daniel journeyed to the kitchen. Mary went back to the bedroom. Mary travelled to the office. John travelled to the bathroom. Mary went to the bathroom. John travelled to the kitchen. John went back to the bathroom. John went back to the bedroom.,Where is John?,qa1,en,bedroom
5020,Mary moved to the hallway. Daniel travelled to the office. John went back to the hallway. John moved to the office. Sandra journeyed to the kitchen. Mary moved to the bedroom. John went back to the kitchen. Sandra went to the bedroom. Sandra travelled to the hallway. Daniel went to the bedroom.,Where is Sandra?,qa1,en,hallway
5021,Mary travelled to the bedroom. John went back to the hallway.,Where is Mary?,qa1,en,bedroom
5022,Mary travelled to the bathroom. Daniel went back to the hallway. Sandra went back to the office. Sandra went back to the hallway. John went back to the bathroom. Daniel went to the kitchen. John moved to the kitchen. Daniel went to the bedroom. Sandra journeyed to the kitchen. John moved to the bedroom.,Where is John?,qa1,en,bedroom
5023,Daniel went to the garden. Mary moved to the bedroom. Daniel journeyed to the bathroom. Sandra journeyed to the bathroom.,Where is Mary?,qa1,en,bedroom
5024,Daniel went to the garden. Mary moved to the bedroom. Daniel journeyed to the bathroom. Sandra journeyed to the bathroom. Daniel moved to the hallway. Sandra journeyed to the kitchen.,Where is Mary?,qa1,en,bedroom
5025,Mary went back to the hallway. Daniel went to the hallway. John travelled to the bathroom. Mary moved to the kitchen. Sandra journeyed to the kitchen. Mary journeyed to the garden. Daniel went back to the bedroom. John went back to the hallway.,Where is Mary?,qa1,en,garden
5026,Mary went back to the office. Daniel went to the bedroom.,Where is Daniel?,qa1,en,bedroom
5027,Sandra journeyed to the office. Sandra travelled to the bathroom. Daniel moved to the bedroom. Daniel went to the garden. Mary journeyed to the hallway. Sandra went to the office.,Where is Sandra?,qa1,en,office
5028,Sandra journeyed to the office. Sandra travelled to the bathroom. Daniel moved to the bedroom. Daniel went to the garden. Mary journeyed to the hallway. Sandra went to the office. Daniel went back to the bathroom. Mary travelled to the kitchen.,Where is Sandra?,qa1,en,office
5029,Sandra went to the garden. Daniel went to the garden.,Where is Sandra?,qa1,en,garden
5030,Sandra went to the garden. Daniel went to the garden. Sandra journeyed to the kitchen. John journeyed to the hallway.,Where is Daniel?,qa1,en,garden
5031,Sandra went to the bathroom. Mary journeyed to the bathroom. Sandra went back to the kitchen. Daniel went back to the hallway.,Where is Mary?,qa1,en,bathroom
5032,John travelled to the garden. Mary went back to the office.,Where is Mary?,qa1,en,office
5033,Sandra moved to the garden. John went to the garden. Sandra went to the bathroom. Sandra went to the kitchen.,Where is Sandra?,qa1,en,kitchen
5034,Daniel travelled to the bedroom. Sandra moved to the bathroom. John went back to the bedroom. Sandra travelled to the kitchen. Sandra went back to the office. Sandra moved to the garden. Daniel went to the kitchen. John travelled to the bathroom.,Where is Sandra?,qa1,en,garden
5035,Daniel journeyed to the hallway. Sandra went to the kitchen.,Where is Sandra?,qa1,en,kitchen
5036,Mary moved to the bathroom. Mary went to the hallway. Daniel travelled to the bedroom. Mary journeyed to the garden. John travelled to the office. Daniel travelled to the office. Mary went to the bedroom. Sandra went back to the kitchen.,Where is Sandra?,qa1,en,kitchen
5037,Sandra travelled to the bedroom. John travelled to the garden. Mary went to the hallway. Mary went back to the bedroom.,Where is John?,qa1,en,garden
5038,Sandra travelled to the bedroom. John travelled to the garden. Mary went to the hallway. Mary went back to the bedroom. Sandra went to the kitchen. Sandra journeyed to the garden.,Where is Sandra?,qa1,en,garden
5039,Mary journeyed to the office. Mary journeyed to the bedroom. Sandra went to the garden. Sandra moved to the kitchen. Sandra went to the bathroom. Daniel moved to the office. John went back to the office. John went to the garden.,Where is Sandra?,qa1,en,bathroom
5040,John travelled to the bedroom. Mary went to the bathroom. Mary journeyed to the bedroom. Sandra travelled to the hallway. Daniel went back to the hallway. Sandra journeyed to the office.,Where is Mary?,qa1,en,bedroom
5041,Sandra journeyed to the kitchen. Daniel journeyed to the bathroom.,Where is Sandra?,qa1,en,kitchen
5042,Sandra journeyed to the kitchen. Daniel journeyed to the bathroom. Mary went to the garden. Mary travelled to the office.,Where is Mary?,qa1,en,office
