,passage,question,question_type,input_lang,target
3000,简走到走廊上。梨花向卫生间走去。明浩又回到了卫生间。简搬到了卧室。,丽华在哪里？?,qa1,zh,浴室
3001,简走到走廊上。梨花向卫生间走去。明浩又回到了卫生间。简搬到了卧室。简走到走廊上。美英向厨房走去。美英走到走廊。健去了花园。美英回到卫生间。美英搬到了厨房。,梅英在哪里？?,qa1,zh,厨房
3002,健前往办公室。丽华向厨房走去。,丽华在哪里？?,qa1,zh,厨房
3003,简走向走廊。简走向厨房。美英游至花园。健行至花园。明浩前往办公室。简去了厨房。,健在哪里？?,qa1,zh,厨房
3004,美英搬到了卧室。梨花回到厨房。,梅英在哪里？?,qa1,zh,卧室
3005,美英走到走廊上。明浩去了办公室。美英走到厨房。健搬到了办公室。,健在哪里？?,qa1,zh,办公室
3006,梨花回到卧室。丽华搬到办公室。梨花回到卫生间。美英走到走廊上。梨花去了花园。美英去了厨房。,丽华在哪里？?,qa1,zh,花园
3007,美英去了办公室。美英去了卫生间。,梅英在哪里？?,qa1,zh,浴室
3008,梨花回到厨房。明浩向走廊走去。,丽华在哪里？?,qa1,zh,厨房
3009,简走向走廊。简走向卧室。,健在哪里？?,qa1,zh,卧室
3010,丽华去了厨房。简回到厨房。明浩又回到了走廊。明浩去了卫生间。美英去了卫生间。美英走到卧室。明浩去了厨房。明浩搬到了办公室。,明浩在哪里？?,qa1,zh,办公室
3011,丽华去了厨房。简回到厨房。明浩又回到了走廊。明浩去了卫生间。美英去了卫生间。美英走到卧室。明浩去了厨房。明浩搬到了办公室。丽华搬到了卫生间。梨花回到走廊。,明浩在哪里？?,qa1,zh,办公室
3012,美英朝卧室走去。梨花朝花园走去。美英走到走廊上。丽华前往办公室。梨花走到厨房。梨花朝花园走去。简走向走廊。梨花去了卧室。简走向卫生间。丽华去了卫生间。,丽华在哪里？?,qa1,zh,浴室
3013,美英搬到了厨房。美英回到卫生间。,梅英在哪里？?,qa1,zh,浴室
3014,美英搬到了厨房。美英回到卫生间。梨花朝卧室走去。简走向浴室。美英搬到了卧室。美英走到走廊。美英游至花园。美英去了卫生间。明浩向厨房走去。简前往办公室。,梅英在哪里？?,qa1,zh,浴室
3015,丽华前往办公室。丽华走到走廊上。,丽华在哪里？?,qa1,zh,门厅
3016,明浩去了卧室。美英去了厨房。明浩搬到了厨房。简回到卧室。明浩向卧室走去。明浩去了厨房。美英回到卫生间。美英去了厨房。,梅英在哪里？?,qa1,zh,厨房
3017,明浩向厨房走去。明浩前往办公室。,明浩在哪里？?,qa1,zh,办公室
3018,美英走到走廊。梨花回到走廊。丽华搬到办公室。美英向厨房走去。,梅英在哪里？?,qa1,zh,厨房
3019,简去了办公室。梨花游至花园。明浩向厨房走去。梨花回到卧室。丽华前往办公室。简行去洗手间。丽华去了卫生间。简前往厨房。简回到浴室。简回到卧室。,健在哪里？?,qa1,zh,卧室
3020,丽华走到走廊上。明浩前往办公室。简回到走廊。健搬到了办公室。美英向厨房走去。丽华搬到了卧室。简回到厨房。美英去了卧室。美英走到走廊。明浩去了卧室。,梅英在哪里？?,qa1,zh,门厅
3021,梨花行至卧室。简回到走廊。,丽华在哪里？?,qa1,zh,卧室
3022,梨花走向卫生间。明浩又回到了走廊。美英回到办公室。美英回到走廊。简回到浴室。明浩去了厨房。简搬到了厨房。明浩去了卧室。美英向厨房走去。简搬到了卧室。,健在哪里？?,qa1,zh,卧室
3023,明浩去了花园。丽华搬到了卧室。明浩走向卫生间。美英向卫生间走去。,丽华在哪里？?,qa1,zh,卧室
3024,明浩去了花园。丽华搬到了卧室。明浩走向卫生间。美英向卫生间走去。明浩走到走廊上。美英向厨房走去。,丽华在哪里？?,qa1,zh,卧室
