id,input_lang,prompt,target,rag_prompt_2,rag_prompt_10,rag_prompt_5
83_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan đi vào bếp. Dương đi vào phòng tắm. Minh đi ra hành lang. Lan đi vào phòng ngủ.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",phòng tắm,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi ra hành lang. Dương đi vào phòng tắm.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi ra hành lang. Dương đi vào phòng tắm. Lan đi vào phòng ngủ. Lan đi vào bếp.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi ra hành lang. Dương đi vào phòng tắm. Lan đi vào phòng ngủ. Lan đi vào bếp.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
53_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan quay lại phòng ngủ. Mai chuyển vào bếp. Mai chuyển đến văn phòng. Dương đi đến văn phòng. Dương đi ra hành lang. Minh quay lại hành lang. Mai đi vào phòng tắm. Lan đi ra hành lang. Minh đi ra vườn. Dương đi vào bếp.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",vườn,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh quay lại hành lang. Lan đi ra hành lang.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh quay lại hành lang. Lan đi ra hành lang. Minh đi ra vườn. Dương đi ra hành lang. Lan quay lại phòng ngủ. Mai đi vào phòng tắm. Mai chuyển đến văn phòng. Dương đi đến văn phòng. Mai chuyển vào bếp. Dương đi vào bếp.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh quay lại hành lang. Lan đi ra hành lang. Minh đi ra vườn. Dương đi ra hành lang. Lan quay lại phòng ngủ.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
70_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương đi ra vườn. Minh chuyển đến khu vườn. Lan chuyển vào phòng ngủ. Minh quay lại văn phòng. Minh quay lại phòng ngủ. Dương quay lại phòng ngủ. Minh đi đến cơ quan. Lan đi ra vườn.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",văn phòng,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi đến cơ quan. Minh chuyển đến khu vườn.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi đến cơ quan. Minh chuyển đến khu vườn. Minh quay lại phòng ngủ. Minh quay lại văn phòng. Dương đi ra vườn. Dương quay lại phòng ngủ. Lan đi ra vườn. Lan chuyển vào phòng ngủ.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi đến cơ quan. Minh chuyển đến khu vườn. Minh quay lại phòng ngủ. Minh quay lại văn phòng. Dương đi ra vườn.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
45_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan chuyển ra vườn. Minh đi vào phòng ngủ. Minh đi vào phòng tắm. Minh đi ra vườn. Minh đi vào phòng ngủ. Lan đi đến văn phòng. Lan đi vào phòng tắm. Lan di chuyển vào bếp. Lan đi vào phòng ngủ. Lan đi đến văn phòng.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",văn phòng,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan chuyển ra vườn. Lan đi vào phòng tắm.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan chuyển ra vườn. Lan đi vào phòng tắm. Lan di chuyển vào bếp. Lan đi vào phòng ngủ. Minh đi ra vườn. Lan đi đến văn phòng. Lan đi đến văn phòng. Minh đi vào phòng tắm. Minh đi vào phòng ngủ. Minh đi vào phòng ngủ.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan chuyển ra vườn. Lan đi vào phòng tắm. Lan di chuyển vào bếp. Lan đi vào phòng ngủ. Minh đi ra vườn.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
44_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại bếp. Dương chuyển đến văn phòng. Dương quay lại phòng ngủ. Minh chuyển đến khu vườn. Dương đi đến văn phòng. Mai đi ra vườn.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",văn phòng,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại bếp. Dương đi đến văn phòng.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại bếp. Dương đi đến văn phòng. Dương quay lại phòng ngủ. Mai đi ra vườn. Minh chuyển đến khu vườn. Dương chuyển đến văn phòng.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại bếp. Dương đi đến văn phòng. Dương quay lại phòng ngủ. Mai đi ra vườn. Minh chuyển đến khu vườn.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
39_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Mai đi đến văn phòng. Mai đi vào phòng ngủ. Lan đi ra vườn. Lan di chuyển vào bếp. Lan đi vào phòng tắm. Dương chuyển đến văn phòng. Minh quay lại văn phòng. Minh đi ra vườn.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",phòng tắm,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan đi ra vườn. Lan đi vào phòng tắm.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan đi ra vườn. Lan đi vào phòng tắm. Lan di chuyển vào bếp. Minh đi ra vườn. Mai đi vào phòng ngủ. Mai đi đến văn phòng. Minh quay lại văn phòng. Dương chuyển đến văn phòng.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Lan đi ra vườn. Lan đi vào phòng tắm. Lan di chuyển vào bếp. Minh đi ra vườn. Mai đi vào phòng ngủ.
</context>

QUESTION: Lan ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
22_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Mai đi vào phòng tắm. Dương quay lại hành lang. Lan quay lại văn phòng. Lan quay lại hành lang. Minh quay lại phòng tắm. Dương đi vào bếp. Minh chuyển vào bếp. Dương đi vào phòng ngủ. Lan đi vào bếp. Minh chuyển vào phòng ngủ.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",phòng ngủ,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại hành lang. Lan quay lại hành lang.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại hành lang. Lan quay lại hành lang. Minh quay lại phòng tắm. Lan quay lại văn phòng. Minh chuyển vào phòng ngủ. Mai đi vào phòng tắm. Minh chuyển vào bếp. Dương đi vào bếp. Dương đi vào phòng ngủ. Lan đi vào bếp.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại hành lang. Lan quay lại hành lang. Minh quay lại phòng tắm. Lan quay lại văn phòng. Minh chuyển vào phòng ngủ.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
80_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương đi vào phòng ngủ. Lan quay lại văn phòng. Dương đi ra vườn. Minh quay lại phòng tắm. Mai đi vào bếp. Minh đi ra hành lang.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",hành lang,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi ra hành lang. Minh quay lại phòng tắm.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi ra hành lang. Minh quay lại phòng tắm. Lan quay lại văn phòng. Dương đi ra vườn. Mai đi vào bếp. Dương đi vào phòng ngủ.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi ra hành lang. Minh quay lại phòng tắm. Lan quay lại văn phòng. Dương đi ra vườn. Mai đi vào bếp.
</context>

QUESTION: Minh ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
10_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Mai đi vào bếp. Minh quay lại bếp. Dương quay lại hành lang. Dương đi vào phòng tắm. Lan đi vào phòng tắm. Lan đi vào phòng ngủ. Dương đi vào bếp. Dương chuyển đến văn phòng.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",văn phòng,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại hành lang. Dương đi vào bếp.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại hành lang. Dương đi vào bếp. Minh quay lại bếp. Dương đi vào phòng tắm. Mai đi vào bếp. Dương chuyển đến văn phòng. Lan đi vào phòng ngủ. Lan đi vào phòng tắm.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Dương quay lại hành lang. Dương đi vào bếp. Minh quay lại bếp. Dương đi vào phòng tắm. Mai đi vào bếp.
</context>

QUESTION: Dương đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
0_vi,vi,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Minh đi đến hành lang. Mai đi vào phòng tắm. Dương quay lại phòng tắm. Minh chuyển vào phòng ngủ.
</context>

QUESTION: Mai ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}",phòng tắm,"Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Mai đi vào phòng tắm. Minh đi đến hành lang.
</context>

QUESTION: Mai ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Mai đi vào phòng tắm. Minh đi đến hành lang. Dương quay lại phòng tắm. Minh chuyển vào phòng ngủ.
</context>

QUESTION: Mai ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}","Read the provided text, which contains facts about the locations of different individuals mixed with unrelated information. Answer the question based only on these facts. If a person appears in multiple locations, use their most recent location to determine the answer.

<context>
Mai đi vào phòng tắm. Minh đi đến hành lang. Dương quay lại phòng tắm. Minh chuyển vào phòng ngủ.
</context>

QUESTION: Mai ở đâu?

Format your response strictly in JSON, and output the answer only.
{
    ""ANSWER"":     
}"
