,passage,question,question_type,input_lang,target
4000,سافر يوسف إلى الردهة. ذهبت مريم إلى الحمام. عاد عمر إلى الحمام. انتقل يوسف إلى غرفة النوم.,أين مريم؟?,qa1,ar,حمام
4001,سافر يوسف إلى الردهة. ذهبت مريم إلى الحمام. عاد عمر إلى الحمام. انتقل يوسف إلى غرفة النوم. ذهب يوسف إلى الردهة. ذهبت ليلى إلى المطبخ. سافرت ليلى إلى الردهة. ذهب يوسف إلى الحديقة . عادت ليلى إلى الحمام. انتقلت ليلى إلى المطبخ.,أين ليلى؟?,qa1,ar,مطبخ
4002,سافر يوسف إلى المكتب. ذهبت مريم إلى المطبخ.,أين مريم؟?,qa1,ar,مطبخ
4003,انتقل يوسف إلى الردهة. ذهب يوسف إلى المطبخ. سافرت ليلى إلى الحديقة. سافر يوسف إلى الحديقة. ذهب عمر إلى المكتب. يوسف ذهب للمطبخ,أين يوسف؟?,qa1,ar,مطبخ
4004,انتقلت ليلى إلى غرفة النوم. عادت مريم إلى المطبخ.,أين ليلى؟?,qa1,ar,غرفة نوم
4005,انتقلت ليلى إلى الردهة. ذهب عمر إلى المكتب . سافرت ليلى إلى المطبخ. انتقل يوسف إلى المكتب.,أين يوسف؟?,qa1,ar,مكتب
4006,عادت مريم إلى غرفة النوم. انتقلت مريم إلى المكتب. عادت مريم إلى الحمام. انتقلت ليلى إلى الردهة. ذهبت مريم إلى الحديقة. ذهبت ليلى إلى المطبخ.,أين مريم؟?,qa1,ar,حديقة
4007,ذهبت ليلى إلى المكتب. سافرت ليلى إلى الحمام.,أين ليلى؟?,qa1,ar,حمام
4008,عادت مريم إلى المطبخ. ذهب عمر إلى الردهة.,أين مريم؟?,qa1,ar,مطبخ
4009,ذهب يوسف إلى الردهة. ذهب يوسف إلى غرفة النوم.,أين يوسف؟?,qa1,ar,غرفة نوم
4010,ذهبت مريم إلى المطبخ. عاد يوسف إلى المطبخ. عاد عمر إلى الردهة. ذهب عمر إلى الحمام . سافرت ليلى إلى الحمام. سافرت ليلى إلى غرفة النوم. ذهب عمر إلى المطبخ . انتقل عمر إلى المكتب.,أين عمر؟?,qa1,ar,مكتب
4011,ذهبت مريم إلى المطبخ. عاد يوسف إلى المطبخ. عاد عمر إلى الردهة. ذهب عمر إلى الحمام . سافرت ليلى إلى الحمام. سافرت ليلى إلى غرفة النوم. ذهب عمر إلى المطبخ . انتقل عمر إلى المكتب. انتقلت مريم إلى الحمام. عادت مريم إلى الردهة.,أين عمر؟?,qa1,ar,مكتب
